optimizer,estimator,generator,acquisitor,Wp0,Wn0,Wp2,Wp1,Wn2,Wn1,t_phl,t_plh,v_il,v_ih,cost,time_stamp
gbrt_minimize,GP,hammersly,LCB,9.440501514887157e-05,8.034608263484978e-06,7.024497411250453e-05,1.1880678523954036e-06,2.98024799423039e-06,8.204720316444067e-07,1.1097086417842623,1.636194503986717,8.556244601720664e-10,8.395941719641087e-10,0.4579425585959661,203444-211111
gbrt_minimize,GP,hammersly,EI,9.440501514887157e-05,8.034608263484978e-06,7.024497411250453e-05,1.1880678523954036e-06,2.98024799423039e-06,8.204720316444067e-07,1.1097088793255494,1.6361945037786445,8.556244601720664e-10,8.395941719641087e-10,0.4579425585959661,203603-211111
gbrt_minimize,GP,hammersly,PI,1.839497026715181e-06,3.097486172507111e-06,9.444604339348529e-07,2.5467854786720845e-05,2.621039897201439e-06,1.6116915627014418e-06,1.3176340282372538,1.9267267169098463,7.923230960216188e-10,8.491873870752897e-10,0.10699070099980829,203724-211111
gbrt_minimize,GP,hammersly,gp_hedge,9.290695953729172e-06,2.79410799604272e-06,7.295564466867793e-07,3.1555501682530735e-05,2.82969932734922e-06,0.0001276602974645886,1.5882545647400272,1.9576999429969004,8.050293764938488e-10,6.434097699070662e-10,0.3824580921683412,203831-211111
gbrt_minimize,GP,lhs,LCB,0.00013584817441338526,1.836896616584938e-05,1.3252554398942152e-05,9.461809980226165e-07,3.4543565144303755e-05,9.089360167566408e-07,1.321219740590753,2.2617750249299955,7.768301557575796e-10,1.096129409461355e-09,0.5803273133557958,203955-211111
gbrt_minimize,GP,lhs,EI,7.645131592243191e-06,0.00012742119932088793,6.274342159927071e-06,3.5219419035887275e-06,0.00012325085870682712,4.0498909998816175e-07,1.2880347290203191,2.1316381614205864,1.1165033342308561e-09,7.973097737590251e-10,0.5380397622114441,204137-211111
gbrt_minimize,GP,lhs,PI,2.0744497988306767e-06,1.8464890497620912e-05,1.981530291612379e-06,3.1862120592293496e-05,1.1600790217307995e-05,1.3426214188061285e-06,1.2011773328444983,1.8037338677200632,7.982330352263034e-10,8.711689147844481e-10,0.2764171642432792,204327-211111
gbrt_minimize,GP,lhs,gp_hedge,6.57310943571802e-06,3.0029358175326036e-06,7.276140587878611e-07,0.00010960403933600521,3.7108952505706874e-06,1.3457521183254538e-05,1.542539011141073,2.0840845318674424,7.634728405037094e-10,6.043316957971001e-10,0.5016271177516767,204456-211111
gbrt_minimize,GP,grid,LCB,7.511538269346494e-06,0.00014795359399128586,1.5690575516776922e-06,1.4838245623480226e-06,3.8123796020289546e-06,4.980863033106344e-07,1.4860125849191979,1.5583078478313888,7.203362351049236e-10,7.314486794030017e-10,0.4868863915171575,204639-211111
gbrt_minimize,GP,grid,EI,5.699132459946089e-06,6.040546197007009e-06,4.329616847948987e-07,0.00012161608618128616,2.6859423620774054e-06,3.282740945927469e-05,1.3091455659942997,1.6083627620409808,3.859490504964924e-10,8.096003867308355e-10,0.7350253591766716,204839-211111
gbrt_minimize,GP,grid,PI,2.976358171448162e-06,1.2048530643260847e-06,3.4787099486384358e-06,7.666216382929033e-06,9.41984816647375e-07,1.787151522948582e-05,1.1142825883796488,1.8607379450541923,5.82606851651235e-10,7.816787217507226e-10,0.5150238445549377,205007-211111
gbrt_minimize,GP,grid,gp_hedge,2.8414298971389273e-06,6.409409071847737e-05,1.1879998696265915e-06,2.9193712887780396e-06,1.789298958364547e-05,4.0883695803593953e-07,1.4573594699851602,1.7687646602249751,8.95817642287966e-10,7.035527715970602e-10,0.4127978215705851,205126-211111
gbrt_minimize,RF,random,LCB,6.705790023222812e-06,9.914783491815288e-05,1.871017332807212e-05,4.104490827638319e-06,8.50476527131924e-05,7.977076381007156e-07,0.83646203867314,2.014187132691438,7.201097496079001e-10,8.867919731869733e-10,0.6216677111253317,205325-211111
gbrt_minimize,RF,random,EI,1.1061121790792872e-05,0.0001430026369245561,1.2340434400597359e-05,2.968856975220318e-06,0.00013324444165084995,6.530234469773209e-07,1.1222484456288897,2.057051300788839,8.124247941054819e-10,9.52219636474183e-10,0.42940829504182454,205612-211111
gbrt_minimize,RF,random,PI,7.231838468658781e-05,1.798236281155966e-06,4.8186908721867274e-05,1.3420240057855737e-06,1.0990353324864341e-06,1.3223868497671258e-06,1.1447640794069747,1.795448335672674,6.865996660110341e-10,7.718190531136315e-10,0.4082605542317012,205853-211111
gbrt_minimize,RF,random,gp_hedge,8.48254343124321e-06,1.051719489971331e-06,7.400022899018784e-07,1.4278024515188517e-06,9.120277600716231e-07,8.75139300654001e-07,1.5535509172956024,1.9670599098611614,8.00639110565271e-10,6.904148364128559e-10,0.2973074716701933,210124-211111
gbrt_minimize,RF,sobol,LCB,0.0001305456488693979,1.414166925701706e-05,1.0711319164426038e-05,1.2729181334538832e-06,4.296665438748644e-05,8.78867731217779e-07,1.4227546334668864,2.432647796104705,9.202967277133212e-10,8.762990333366361e-10,0.5471487127091342,210440-211111
gbrt_minimize,RF,sobol,EI,0.0001305456488693979,1.414166925701706e-05,1.0711319164426038e-05,1.2729181334538832e-06,4.296665438748644e-05,8.78867731217779e-07,1.4227546334668864,2.432647796104705,9.202967277133212e-10,8.762990333366361e-10,0.5471487127091342,210747-211111
gbrt_minimize,RF,sobol,PI,0.000144609142892117,2.2523788053170558e-06,2.1683945304620223e-06,1.1103977592085145e-06,1.9859451248411407e-06,9.324151567015845e-07,1.4722578859301394,1.9536447385495674,6.57618404176219e-10,7.70034702668454e-10,0.3078641101215333,211029-211111
gbrt_minimize,RF,sobol,gp_hedge,6.343406835431617e-05,1.3189493367490816e-06,4.790516133644657e-06,1.0296128627632886e-06,8.171540855922796e-07,7.007460431531562e-07,1.5198204722860795,1.8326668010956226,8.712182086867415e-10,8.221618941206543e-10,0.30268894217639175,211329-211111
gbrt_minimize,RF,halton,LCB,3.365909835964829e-06,1.5522732780203227e-05,8.316948272879981e-06,1.506598401052637e-05,1.5005861438099216e-05,9.281173540830935e-07,0.927353322093572,2.050728591407996,8.743716861658868e-10,5.22028642535588e-10,0.8051558972574204,211624-211111
gbrt_minimize,RF,halton,EI,3.4528852402118567e-06,4.862798536216841e-05,3.037771673029333e-06,2.062596511150019e-05,7.314136800688527e-05,1.6014297449039228e-06,1.224634287771282,2.1977779617049586,6.485181280879715e-10,6.053655354776311e-10,0.6525747173808052,211933-211111
gbrt_minimize,RF,halton,PI,2.234532254345493e-06,2.1312147683924903e-06,9.243535868262867e-06,2.0534894444448605e-05,3.767926385556721e-06,2.3148012011448052e-06,0.7864353670564198,2.2419156520407975,7.91383403253576e-10,7.525038370204129e-10,0.6372965676993212,212214-211111
gbrt_minimize,RF,halton,gp_hedge,2.234532254345493e-06,2.1312147683924903e-06,9.243535868262867e-06,2.0534894444448605e-05,3.767926385556721e-06,2.3148012011448052e-06,0.7864353670564198,2.2419156520407975,7.91383403253576e-10,7.525038370204129e-10,0.6372965676993212,212524-211111
gbrt_minimize,RF,hammersly,LCB,9.440501514887157e-05,8.034608263484978e-06,7.024497411250453e-05,1.1880678523954036e-06,2.98024799423039e-06,8.204720316444067e-07,1.1097086417842623,1.636194503986717,8.556244601720664e-10,8.395941719641087e-10,0.4579425585959661,212821-211111
gbrt_minimize,RF,hammersly,EI,8.205459169462168e-05,6.894713777907102e-07,7.26537348387629e-06,1.1085604532318444e-06,9.779991177686613e-07,1.824879242001928e-06,1.4973016009266003,2.144648419767452,7.836313820064333e-10,8.152731822974602e-10,0.24848424979129768,213134-211111
gbrt_minimize,RF,hammersly,PI,1.7062188357778245e-06,2.168032673436647e-06,4.018006766299124e-07,1.422555358060694e-05,3.9840098887633924e-06,1.7980012660830464e-06,1.3695044550905713,2.2642390325775317,7.938467661006143e-10,7.883338426495357e-10,0.19787041330153707,213418-211111
gbrt_minimize,RF,hammersly,gp_hedge,1.7062188357778245e-06,2.168032673436647e-06,4.018006766299124e-07,1.422555358060694e-05,3.9840098887633924e-06,1.7980012660830464e-06,1.3695044550905713,2.2642390325775317,7.938467661006143e-10,7.883338426495357e-10,0.19787041330153707,213707-211111
gbrt_minimize,RF,lhs,LCB,0.00013584817441338526,1.836896616584938e-05,1.3252554398942152e-05,9.461809980226165e-07,3.4543565144303755e-05,9.089360167566408e-07,1.321219740590753,2.2617750249299955,7.768301557575796e-10,1.096129409461355e-09,0.5803273133557958,214005-211111
gbrt_minimize,RF,lhs,EI,0.00013584817441338526,1.836896616584938e-05,1.3252554398942152e-05,9.461809980226165e-07,3.4543565144303755e-05,9.089360167566408e-07,1.321219740590753,2.2617750249299955,7.768301557575796e-10,1.096129409461355e-09,0.5803273133557958,214317-211111
gbrt_minimize,RF,lhs,PI,1.6056029072184096e-05,1.6750669997774978e-06,7.120176542288226e-07,2.6269020071722653e-06,1.6054142514625635e-06,4.508910144381474e-05,1.4301830955160435,1.902784147516988,5.424709570434061e-10,8.774430071412098e-10,0.5023232621217382,214616-211111
gbrt_minimize,RF,lhs,gp_hedge,1.6056029072184096e-05,1.6750669997774978e-06,7.120176542288226e-07,2.6269020071722653e-06,1.6054142514625635e-06,4.508910144381474e-05,1.4301830955160435,1.902784147516988,5.424709570434061e-10,8.774430071412098e-10,0.5023232621217382,214901-211111
gbrt_minimize,RF,grid,LCB,5.584597685512744e-06,1.514782712172368e-06,8.156592545802832e-07,2.917494980123428e-06,3.785719811592266e-05,5.447357254927317e-06,1.4089851826384931,2.752850410002477,7.425180470477244e-10,6.215614689608628e-10,0.7503114545184872,215229-211111
gbrt_minimize,RF,grid,EI,0.0001041424898877887,6.779898661638349e-07,1.9284296768544628e-05,1.8229779851453047e-06,4.521805534974216e-07,6.795651502959781e-06,1.5153667282943555,1.849226965982351,7.690523773362656e-10,6.124034612753348e-10,0.4473525418438736,215505-211111
gbrt_minimize,RF,grid,PI,5.9224136823271755e-05,5.574849641730066e-05,1.067212033185233e-06,1.3182737766118292e-06,3.310268384762797e-05,5.912828221783326e-07,1.592756254520925,1.824962103270305,7.398495149857354e-10,7.933467216503232e-10,0.3274461503211254,215833-211111
gbrt_minimize,RF,grid,gp_hedge,5.9224136823271755e-05,5.574849641730066e-05,1.067212033185233e-06,1.3182737766118292e-06,3.310268384762797e-05,5.912828221783326e-07,1.592756254520925,1.824962103270305,7.398495149857354e-10,7.933467216503232e-10,0.3274461503211254,220131-211111
gbrt_minimize,ET,random,LCB,2.3076649419419734e-05,1.4852534288725128e-05,3.057749728203677e-05,1.7224117001081345e-06,2.8832890088130935e-06,8.497125564986081e-07,0.9884828458995508,1.5691887411044705,6.143632269584032e-10,8.019798158898084e-10,0.6975990457577382,220418-211111
gbrt_minimize,ET,random,EI,2.3076649419419734e-05,1.4852534288725128e-05,3.057749728203677e-05,1.7224117001081345e-06,2.8832890088130935e-06,8.497125564986081e-07,0.9884828458995508,1.5691887411044705,6.143632269584032e-10,8.019798158898084e-10,0.6975990457577382,220717-211111
