optimizer,estimator,generator,acquisitor,wn0,wn1,wn2,wn3,wp,vs0,vs1,vs2,vs3,cost,time_stamp
forest_minimize,GBRT,hammersly,LCB,2.044568158680766e-05,5.575412000202847e-05,0.0001452863897007144,5.771288077746199e-05,5.352413725462481e-05,1.6432918045299034,1.5786996570470915,1.5307237514893304,1.6520357854889856,0.12080034692282432,014938-211103
forest_minimize,GBRT,hammersly,EI,4.205076734190323e-06,9.642523933230292e-06,3.0741237023883806e-05,9.987026385231562e-05,1.384508718037125e-05,1.7196718197754215,1.6856829223405965,1.6252672796124592,1.5834726190926511,0.11916051115812584,015043-211103
forest_minimize,GBRT,hammersly,PI,5.595819032181821e-06,5.395442149905387e-06,1.9275393310323323e-05,4.322928291802651e-05,1.4612599016841196e-05,1.647205585430722,1.7777422792440136,1.7021187321510043,1.6770290378129813,0.12708149319835,015144-211103
forest_minimize,GBRT,hammersly,gp_hedge,7.319181967686437e-07,1.538417493772698e-05,2.7477423658431943e-05,4.969536444697916e-05,4.134553745551469e-06,1.8735734681610146,1.6500496330256489,1.6383337143816203,1.6271457687969444,0.15645067758066591,015305-211103
forest_minimize,GBRT,lhs,LCB,4.601686632436441e-07,0.00013665786115340422,9.8395344845298e-06,2.0751067436015745e-06,2.6534972241303916e-06,1.8655290224053462,1.5626751631713809,1.6392185582993928,1.7640656522669436,0.2592126989100098,015428-211103
forest_minimize,GBRT,lhs,EI,0.0001345517698828077,0.00012420566985621583,0.00012561652116565425,9.604025404086706e-07,8.605019999269052e-06,1.6713722589019793,1.6714630618824706,1.6714648379738,2.0247767892514745,0.266107241218015,015548-211103
forest_minimize,GBRT,lhs,PI,8.857992593064518e-07,3.849458460576256e-05,3.0025697999713917e-05,4.404390099390447e-05,5.000824331196627e-06,1.8780812470501882,1.6279852925126495,1.6421701509006663,1.6368925663859615,0.16426256803085504,015645-211103
forest_minimize,GBRT,lhs,gp_hedge,4.200012047193902e-07,9.00401973032011e-06,1.1246565588575295e-05,3.974326369224537e-05,2.5903719478293433e-06,1.876139455978859,1.6549914053924804,1.6568178126047197,1.626914338177096,0.15820262775694735,015814-211103
forest_minimize,GBRT,grid,LCB,8.822408398472497e-06,2.1303599015757155e-05,2.0608709977328047e-05,5.022058729117235e-05,2.4930725692024956e-05,1.6722003949705926,1.6275830847060861,1.6935072591094493,1.6580696906884345,0.05829955155296388,015947-211103
forest_minimize,GBRT,grid,EI,6.541351403323431e-06,1.767869124522019e-05,3.74942567215325e-05,5.195888818461064e-05,2.1930958553475315e-05,1.7261231100821677,1.6681697156060635,1.6429029515963147,1.6466942985044193,0.06345186399242254,020127-211103
forest_minimize,GBRT,grid,PI,1.2183086127992013e-05,2.6241135975667746e-05,4.424502242714268e-05,4.292587881154492e-05,3.2349660572893536e-05,1.6492829741743493,1.6237212142286255,1.6212124899282718,1.6636031800830633,0.04205242530413121,020243-211103
forest_minimize,GBRT,grid,gp_hedge,9.322867275364107e-06,1.826086931307079e-05,2.822986523149489e-05,8.027891944898827e-05,2.6803166408222977e-05,1.6773322539506887,1.6693188570292836,1.6790072419416726,1.6351281436648988,0.0548667934889372,020407-211103
